CodEntrega,CodVenta,Fecha_Envio,Fecha_Estimada,Fecha_Entrega_Real,Tiempo_Entrega,Costo_Total_Entrega,Entregado_A_Tiempo,Costo_Por_Km,Distancia_Recorrida_Km,CodProveedor,CodRango,CodEstado,CodAlmacen
2375,2375,2021-06-23,2021-06-27,2021-06-28,5 días,454.25,No,11.5,39.5,2,1,3,13
2376,2376,2021-06-22,2021-06-26,2021-06-26,4 días,390.42,Si,13.15,29.68,2,1,3,11
2377,2377,2021-06-24,2021-06-28,2021-06-25,1 días,426.24,Si,12.11,35.19,2,1,3,7
2378,2378,2021-06-22,2021-06-26,2021-06-24,2 días,348.68,Si,11.71,29.78,1,1,3,11
2379,2379,2021-06-23,2021-06-27,,Pendiente,1365.41,Pendiente,4.16,328.44,8,3,2,8
2380,2380,2021-06-22,2021-06-26,2021-06-27,5 días,1422.68,No,5.07,280.67,4,2,3,6
2381,2381,2021-06-24,2021-06-28,2021-06-26,2 días,209.18,Si,32.03,6.53,1,1,3,12
2382,2382,2021-06-22,2021-06-26,2021-06-26,4 días,544.97,Si,11.92,45.71,3,1,3,1
2383,2383,2021-06-23,2021-06-27,2021-06-26,3 días,464.61,Si,13.57,34.23,3,1,3,6
2384,2384,2021-06-22,2021-06-26,2021-06-29,7 días,334.22,No,12.21,27.37,1,1,3,14
2385,2385,2021-06-24,2021-06-28,2021-06-26,2 días,3316.08,Si,2.44,1358.04,7,3,3,4
2386,2386,2021-06-25,2021-06-29,2021-06-29,4 días,570.8,Si,11.55,49.4,3,1,3,15
2387,2387,2021-06-24,2021-06-28,2021-06-27,3 días,308.96,Si,13.34,23.16,1,1,3,10
2388,2388,2021-06-24,2021-06-28,2021-06-28,4 días,385.1,Si,10.74,35.85,1,1,3,9
2389,2389,2021-06-23,2021-06-27,2021-06-26,3 días,525.58,Si,12.24,42.94,3,1,3,13
2390,2390,2021-06-23,2021-06-27,2021-06-26,3 días,368.06,Si,14.03,26.24,2,1,3,6
2391,2391,2021-06-25,2021-06-29,2021-06-29,4 días,422.84,Si,10.03,42.14,1,1,3,12
2392,2392,2021-06-23,2021-06-27,2021-06-26,3 días,304.43,Si,18.51,16.45,2,1,3,12
2393,2393,2021-06-24,2021-06-28,2021-06-28,4 días,487.79,Si,10.92,44.66,2,1,3,12
2394,2394,2021-06-25,2021-06-29,2021-07-01,6 días,285.74,No,14.81,19.29,1,1,3,6
2395,2395,2021-06-25,2021-06-29,2021-07-02,7 días,233.78,No,21.99,10.63,1,1,3,8
2396,2396,2021-06-23,2021-06-27,2021-06-24,1 días,345.32,Si,11.82,29.22,1,1,3,6
2397,2397,2021-06-25,2021-06-29,2021-06-29,4 días,486.56,Si,10.94,44.47,2,1,3,10
2398,2398,2021-06-25,2021-06-29,2021-07-01,6 días,354.2,No,11.54,30.7,1,1,3,13
2399,2399,2021-06-25,2021-06-29,2021-06-29,4 días,414.35,Si,15.32,27.05,3,1,3,2
2400,2400,2021-06-23,2021-06-27,2021-06-28,5 días,644.76,No,7.48,86.19,4,2,4,2
2401,2401,2021-06-24,2021-06-28,2021-06-25,1 días,477.65,Si,11.08,43.1,2,1,3,8
2402,2402,2021-06-25,2021-06-29,,Pendiente,399.0,Pendiente,12.87,31.0,2,1,1,7
2403,2403,2021-06-24,2021-06-28,2021-06-26,2 días,1008.56,Si,5.69,177.14,4,2,3,3
2404,2404,2021-06-25,2021-06-29,2021-06-27,2 días,494.92,Si,12.84,38.56,3,1,3,1
2405,2405,2021-06-26,2021-06-30,2021-06-29,3 días,266.14,Si,25.2,10.56,2,1,3,2
2406,2406,2021-06-25,2021-06-29,2021-07-01,6 días,403.28,No,10.37,38.88,1,1,3,6
2407,2407,2021-06-26,2021-06-30,,Pendiente,450.86,Pendiente,9.63,46.81,1,1,1,1
2408,2408,2021-06-24,2021-06-28,,Pendiente,568.42,Pendiente,11.59,49.06,3,1,2,6
2409,2409,2021-06-25,2021-06-29,2021-06-29,4 días,275.24,Si,15.69,17.54,1,1,3,6
2410,2410,2021-06-24,2021-06-28,2021-06-27,3 días,401.72,Si,10.4,38.62,1,1,3,15
2411,2411,2021-06-24,2021-06-28,2021-06-27,3 días,282.02,Si,15.11,18.67,1,1,3,6
2412,2412,2021-06-24,2021-06-28,2021-07-01,7 días,240.27,No,36.52,6.58,2,1,3,6
2413,2413,2021-06-24,2021-06-28,2021-06-29,5 días,1125.12,No,5.45,206.28,4,2,3,6
2414,2414,2021-06-26,2021-06-30,,Pendiente,1287.52,Pendiente,5.22,246.88,4,2,1,14
2415,2415,2021-06-25,2021-06-29,2021-06-29,4 días,312.15,Si,25.07,12.45,3,1,3,14
2416,2416,2021-06-26,2021-06-30,2021-06-28,2 días,282.19,Si,21.66,13.03,2,1,3,6
2417,2417,2021-06-25,2021-06-29,2021-07-01,6 días,1371.25,No,5.9,232.5,5,2,3,9
2418,2418,2021-06-25,2021-06-29,2021-06-27,2 días,287.46,Si,20.77,13.84,2,1,4,15
2419,2419,2021-06-27,2021-07-01,2021-07-02,5 días,781.16,No,7.71,101.37,5,2,3,6
2420,2420,2021-06-25,2021-06-29,2021-06-28,3 días,1302.3,Si,6.84,190.46,6,2,3,2
2421,2421,2021-06-26,2021-06-30,2021-06-27,1 días,1432.0,Si,6.62,216.4,6,2,3,8
2422,2422,2021-06-26,2021-06-30,2021-07-01,5 días,2379.48,No,3.09,769.34,8,3,3,9
2423,2423,2021-06-26,2021-06-30,2021-07-02,6 días,1399.2,No,5.86,238.71,5,2,3,12
2424,2424,2021-06-25,2021-06-29,2021-06-29,4 días,374.88,Si,13.74,27.29,2,1,3,12
2425,2425,2021-06-26,2021-06-30,,Pendiente,1489.69,Pendiente,5.76,258.82,5,2,2,1
2426,2426,2021-06-27,2021-07-01,2021-06-28,1 días,3181.48,Si,2.46,1290.74,7,3,3,15
2427,2427,2021-06-27,2021-07-01,2021-07-03,6 días,238.82,No,20.82,11.47,1,1,3,6
2428,2428,2021-06-25,2021-06-29,2021-06-29,4 días,394.82,Si,10.54,37.47,1,1,3,8
2429,2429,2021-06-25,2021-06-29,2021-07-02,7 días,490.65,No,10.88,45.1,2,1,3,15
2430,2430,2021-06-26,2021-06-30,2021-06-30,4 días,2073.54,Si,2.81,736.77,7,3,3,10
2431,2431,2021-06-28,2021-07-02,2021-07-04,6 días,456.14,No,9.56,47.69,1,1,3,12
2432,2432,2021-06-28,2021-07-02,2021-06-29,1 días,327.86,Si,12.46,26.31,1,1,3,15
2433,2433,2021-06-27,2021-07-01,2021-07-04,7 días,310.67,No,17.84,17.41,2,1,3,14
2434,2434,2021-06-26,2021-06-30,2021-06-27,1 días,359.33,Si,18.72,19.19,3,1,3,14
2435,2435,2021-06-28,2021-07-02,2021-06-30,2 días,1347.95,Si,6.75,199.59,6,2,3,13
2436,2436,2021-06-27,2021-07-01,2021-07-03,6 días,264.58,No,25.64,10.32,2,1,3,1
2437,2437,2021-06-28,2021-07-02,2021-06-29,1 días,1521.55,Si,6.49,234.31,6,2,3,9
2438,2438,2021-06-27,2021-07-01,2021-06-28,1 días,1495.77,Si,5.75,260.17,5,2,3,14
2439,2439,2021-06-28,2021-07-02,2021-07-04,6 días,253.72,No,29.33,8.65,2,1,3,1
2440,2440,2021-06-26,2021-06-30,2021-07-03,7 días,416.48,No,10.14,41.08,1,1,3,14
2441,2441,2021-06-27,2021-07-01,2021-07-03,6 días,1428.85,No,6.62,215.77,6,2,3,2
2442,2442,2021-06-26,2021-06-30,2021-07-01,5 días,206.0,No,34.33,6.0,1,1,3,8
2443,2443,2021-06-27,2021-07-01,2021-06-28,1 días,403.36,Si,15.83,25.48,3,1,3,15
2444,2444,2021-06-28,2021-07-02,2021-07-05,7 días,768.65,No,9.18,83.73,6,2,3,4
2445,2445,2021-06-28,2021-07-02,2021-07-04,6 días,339.07,No,15.57,21.78,2,1,3,4
2446,2446,2021-06-27,2021-07-01,2021-06-28,1 días,303.92,Si,13.62,22.32,1,1,3,13
2447,2447,2021-06-28,2021-07-02,2021-07-05,7 días,550.43,No,11.84,46.49,3,1,3,7
2448,2448,2021-06-27,2021-07-01,2021-07-04,7 días,352.88,No,11.58,30.48,1,1,3,15
2449,2449,2021-06-28,2021-07-02,2021-07-04,6 días,241.04,No,20.36,11.84,1,1,3,6
2450,2450,2021-06-27,2021-07-01,2021-06-30,3 días,277.04,Si,15.53,17.84,1,1,3,12
2451,2451,2021-06-29,2021-07-03,2021-07-05,6 días,442.1,No,9.75,45.35,1,1,3,15
2452,2452,2021-06-29,2021-07-03,2021-07-02,3 días,477.59,Si,11.08,43.09,2,1,3,1
2453,2453,2021-06-29,2021-07-03,2021-07-02,3 días,239.36,Si,37.17,6.44,2,1,3,8
2454,2454,2021-06-29,2021-07-03,2021-07-02,3 días,257.82,Si,27.78,9.28,2,1,3,1
2455,2455,2021-06-28,2021-07-02,2021-06-30,2 días,433.64,Si,9.87,43.94,1,1,3,4
2456,2456,2021-06-29,2021-07-03,2021-07-01,2 días,337.88,Si,12.08,27.98,1,1,3,8
2457,2457,2021-06-29,2021-07-03,2021-07-01,2 días,327.5,Si,16.38,20.0,2,1,3,9
2458,2458,2021-06-27,2021-07-01,2021-06-29,2 días,413.24,Si,10.19,40.54,1,1,3,7
2459,2459,2021-06-29,2021-07-03,2021-07-01,2 días,302.78,Si,13.68,22.13,1,1,3,1
2460,2460,2021-06-27,2021-07-01,2021-06-30,3 días,855.55,Si,7.26,117.9,5,2,3,6
2461,2461,2021-06-28,2021-07-02,2021-07-01,3 días,552.04,Si,11.82,46.72,3,1,3,6
2462,2462,2021-06-28,2021-07-02,2021-07-05,7 días,284.93,No,21.18,13.45,2,1,3,2
2463,2463,2021-06-27,2021-07-01,2021-06-28,1 días,1237.52,Si,5.28,234.38,4,2,4,11
2464,2464,2021-06-27,2021-07-01,2021-06-28,1 días,339.59,Si,15.53,21.86,2,1,3,4
2465,2465,2021-06-28,2021-07-02,2021-07-01,3 días,469.33,Si,11.22,41.82,2,1,3,15
2466,2466,2021-06-29,2021-07-03,2021-07-06,7 días,358.88,No,11.4,31.48,1,1,3,15
2467,2467,2021-06-30,2021-07-04,,Pendiente,358.07,Pendiente,18.84,19.01,3,1,2,12
2468,2468,2021-06-30,2021-07-04,2021-07-01,1 días,313.2,Si,24.86,12.6,3,1,3,1
2469,2469,2021-06-29,2021-07-03,2021-07-05,6 días,466.01,No,13.53,34.43,3,1,4,6
2470,2470,2021-06-28,2021-07-02,2021-07-02,4 días,509.37,Si,10.62,47.98,2,1,3,8
2471,2471,2021-06-29,2021-07-03,2021-07-04,5 días,474.13,No,13.32,35.59,3,1,4,14
2472,2472,2021-06-30,2021-07-04,2021-07-01,1 días,1000.12,Si,5.71,175.03,4,2,3,15
2473,2473,2021-06-28,2021-07-02,2021-07-04,6 días,328.88,No,12.42,26.48,1,1,3,6
2474,2474,2021-06-29,2021-07-03,2021-07-01,2 días,379.82,Si,10.86,34.97,1,1,3,3
2475,2475,2021-06-28,2021-07-02,2021-06-29,1 días,289.54,Si,31.4,9.22,3,1,3,6
2476,2476,2021-06-30,2021-07-04,2021-07-04,4 días,470.56,Si,13.41,35.08,3,1,4,1
2477,2477,2021-06-28,2021-07-02,2021-06-30,2 días,267.35,Si,44.19,6.05,3,1,4,6
2478,2478,2021-06-29,2021-07-03,2021-06-30,1 días,427.22,Si,9.97,42.87,1,1,3,14
2479,2479,2021-06-29,2021-07-03,2021-07-05,6 días,1227.3,No,6.99,175.46,6,2,4,14
2480,2480,2021-07-01,2021-07-05,2021-07-02,1 días,237.74,Si,21.06,11.29,1,1,3,2
2481,2481,2021-06-29,2021-07-03,2021-07-04,5 días,3349.24,No,2.44,1374.62,7,3,3,13
2482,2482,2021-06-30,2021-07-04,,Pendiente,482.46,Pendiente,13.12,36.78,3,1,2,8
2483,2483,2021-06-29,2021-07-03,2021-07-04,5 días,387.92,No,10.68,36.32,1,1,4,1
2484,2484,2021-07-01,2021-07-05,2021-07-03,2 días,362.4,Si,14.28,25.37,2,1,3,7
2485,2485,2021-07-01,2021-07-05,2021-07-04,3 días,305.78,Si,13.51,22.63,1,1,3,2
2486,2486,2021-06-29,2021-07-03,2021-07-02,3 días,273.55,Si,23.38,11.7,2,1,3,2
2487,2487,2021-06-30,2021-07-04,2021-07-06,6 días,452.64,No,13.92,32.52,3,1,3,14
2488,2488,2021-06-29,2021-07-03,2021-07-06,7 días,525.36,No,9.32,56.34,4,2,3,6
2489,2489,2021-07-01,2021-07-05,,Pendiente,438.32,Pendiente,9.8,44.72,1,1,2,6
2490,2490,2021-06-29,2021-07-03,2021-07-05,6 días,468.56,No,9.42,49.76,1,1,3,1
2491,2491,2021-07-01,2021-07-05,2021-07-05,4 días,411.5,Si,10.22,40.25,1,1,3,7
2492,2492,2021-06-29,2021-07-03,,Pendiente,565.76,Pendiente,8.52,66.44,4,2,1,14
2493,2493,2021-07-01,2021-07-05,2021-07-05,4 días,519.21,Si,12.35,42.03,3,1,3,14
2494,2494,2021-06-30,2021-07-04,2021-07-03,3 días,367.41,Si,14.06,26.14,2,1,3,5
2495,2495,2021-06-30,2021-07-04,2021-07-05,5 días,483.96,No,10.98,44.07,2,1,3,6
2496,2496,2021-06-30,2021-07-04,,Pendiente,255.94,Pendiente,28.47,8.99,2,1,2,11
2497,2497,2021-07-01,2021-07-05,,Pendiente,310.53,Pendiente,17.86,17.39,2,1,1,15
2498,2498,2021-07-01,2021-07-05,2021-07-03,2 días,338.55,Si,15.6,21.7,2,1,3,7
2499,2499,2021-07-02,2021-07-06,2021-07-09,7 días,3087.1,No,2.48,1243.55,7,3,3,6
2500,2500,2021-06-30,2021-07-04,2021-07-03,3 días,301.86,Si,27.49,10.98,3,1,3,3
2501,2501,2021-07-01,2021-07-05,2021-07-02,1 días,487.78,Si,12.99,37.54,3,1,3,7
2502,2502,2021-07-02,2021-07-06,2021-07-07,5 días,851.16,No,6.18,137.79,4,2,3,8
2503,2503,2021-06-30,2021-07-04,2021-07-04,4 días,294.65,Si,29.61,9.95,3,1,3,6
2504,2504,2021-07-02,2021-07-06,2021-07-04,2 días,1770.51,Si,3.51,504.57,8,3,3,1
2505,2505,2021-07-01,2021-07-05,2021-07-03,2 días,551.76,Si,11.82,46.68,3,1,3,6
2506,2506,2021-07-02,2021-07-06,,Pendiente,307.87,Pendiente,18.13,16.98,2,1,1,12
2507,2507,2021-07-02,2021-07-06,2021-07-03,1 días,308.02,Si,25.97,11.86,3,1,3,14
2508,2508,2021-07-03,2021-07-07,2021-07-09,6 días,215.84,No,28.25,7.64,1,1,3,8
2509,2509,2021-07-03,2021-07-07,2021-07-08,5 días,487.22,No,13.01,37.46,3,1,3,3
2510,2510,2021-07-02,2021-07-06,2021-07-05,3 días,323.27,Si,16.71,19.35,2,1,3,8
2511,2511,2021-07-03,2021-07-07,2021-07-08,5 días,311.45,No,25.22,12.35,3,1,3,3
2512,2512,2021-07-01,2021-07-05,2021-07-08,7 días,302.61,No,18.71,16.17,2,1,3,11
2513,2513,2021-07-02,2021-07-06,2021-07-06,4 días,453.02,Si,9.6,47.17,1,1,3,15
2514,2514,2021-07-03,2021-07-07,2021-07-06,3 días,292.01,Si,20.08,14.54,2,1,3,7
2515,2515,2021-07-02,2021-07-06,2021-07-08,6 días,300.5,No,13.82,21.75,1,1,3,9
2516,2516,2021-07-01,2021-07-05,2021-07-03,2 días,285.44,Si,21.1,13.53,2,1,3,6
2517,2517,2021-07-01,2021-07-05,2021-07-02,1 días,460.75,Si,11.38,40.5,2,1,3,1
2518,2518,2021-07-03,2021-07-07,2021-07-06,3 días,385.58,Si,16.81,22.94,3,1,3,3
2519,2519,2021-07-03,2021-07-07,,Pendiente,461.66,Pendiente,9.5,48.61,1,1,1,7
2520,2520,2021-07-03,2021-07-07,2021-07-09,6 días,1678.72,No,3.61,464.66,8,3,3,14
2521,2521,2021-07-03,2021-07-07,2021-07-05,2 días,1359.38,Si,3.58,379.69,7,3,3,2
2522,2522,2021-07-02,2021-07-06,2021-07-04,2 días,332.78,Si,12.27,27.13,1,1,3,6
2523,2523,2021-07-02,2021-07-06,2021-07-03,1 días,523.48,Si,12.28,42.64,3,1,3,9
2524,2524,2021-07-03,2021-07-07,,Pendiente,480.84,Pendiente,11.03,43.59,2,1,2,6
2525,2525,2021-07-04,2021-07-08,,Pendiente,797.73,Pendiente,7.59,105.05,5,2,2,13
2526,2526,2021-07-04,2021-07-08,2021-07-08,4 días,582.44,Si,8.25,70.61,4,2,3,1
2527,2527,2021-07-03,2021-07-07,,Pendiente,318.17,Pendiente,23.9,13.31,3,1,1,9
2528,2528,2021-07-02,2021-07-06,2021-07-03,1 días,542.17,Si,11.97,45.31,3,1,3,6
2529,2529,2021-07-03,2021-07-07,2021-07-05,2 días,1769.42,Si,3.03,584.71,7,3,3,2
2530,2530,2021-07-02,2021-07-06,2021-07-06,4 días,312.43,Si,25.01,12.49,3,1,3,7
2531,2531,2021-07-04,2021-07-08,2021-07-07,3 días,394.82,Si,10.54,37.47,1,1,3,7
2532,2532,2021-07-02,2021-07-06,2021-07-09,7 días,3112.14,No,2.48,1256.07,7,3,3,6
2533,2533,2021-07-04,2021-07-08,2021-07-09,5 días,2449.84,No,3.06,799.93,8,3,3,14
2534,2534,2021-07-03,2021-07-07,,Pendiente,318.38,Pendiente,23.87,13.34,3,1,2,11
2535,2535,2021-07-02,2021-07-06,2021-07-07,5 días,3297.23,No,2.82,1168.36,8,3,3,1
2536,2536,2021-07-02,2021-07-06,2021-07-07,5 días,3546.14,No,2.41,1473.07,7,3,3,7
2537,2537,2021-07-05,2021-07-09,2021-07-08,3 días,830.4,Si,6.26,132.6,4,2,3,12
2538,2538,2021-07-05,2021-07-09,2021-07-11,6 días,449.63,No,11.59,38.79,2,1,3,6
2539,2539,2021-07-03,2021-07-07,2021-07-08,5 días,1168.16,No,6.23,187.37,5,2,3,14
2540,2540,2021-07-04,2021-07-08,2021-07-09,5 días,293.67,No,29.94,9.81,3,1,3,4
2541,2541,2021-07-04,2021-07-08,2021-07-08,4 días,904.74,Si,7.02,128.83,5,2,3,14
2542,2542,2021-07-04,2021-07-08,2021-07-07,3 días,660.07,Si,8.86,74.46,5,2,3,6
2543,2543,2021-07-05,2021-07-09,2021-07-11,6 días,317.3,No,17.22,18.43,2,1,3,15
2544,2544,2021-07-04,2021-07-08,2021-07-08,4 días,568.9,Si,10.5,54.2,5,2,3,8
2545,2545,2021-07-03,2021-07-07,2021-07-07,4 días,1356.09,Si,5.92,229.13,5,2,3,9
2546,2546,2021-07-03,2021-07-07,,Pendiente,291.92,Pendiente,14.37,20.32,1,1,2,10
2547,2547,2021-07-03,2021-07-07,2021-07-08,5 días,375.86,No,10.95,34.31,1,1,3,9
2548,2548,2021-07-04,2021-07-08,2021-07-05,1 días,371.96,Si,11.05,33.66,1,1,3,14
2549,2549,2021-07-06,2021-07-10,2021-07-07,1 días,501.18,Si,10.73,46.72,2,1,3,15
2550,2550,2021-07-05,2021-07-09,2021-07-11,6 días,431.63,No,11.98,36.02,2,1,3,15
2551,2551,2021-07-04,2021-07-08,2021-07-06,2 días,826.4,Si,8.67,95.28,6,2,3,2
2552,2552,2021-07-06,2021-07-10,2021-07-13,7 días,1870.94,No,2.94,635.47,7,3,3,14
2553,2553,2021-07-06,2021-07-10,2021-07-12,6 días,399.51,No,16.03,24.93,3,1,3,2
2554,2554,2021-07-05,2021-07-09,2021-07-07,2 días,2189.76,Si,2.75,794.88,7,3,3,12
2555,2555,2021-07-06,2021-07-10,2021-07-07,1 días,504.44,Si,12.64,39.92,3,1,3,14
2556,2556,2021-07-04,2021-07-08,2021-07-11,7 días,3392.98,No,2.8,1209.99,8,3,3,2
2557,2557,2021-07-06,2021-07-10,2021-07-12,6 días,401.01,No,12.81,31.31,2,1,3,6
2558,2558,2021-07-05,2021-07-09,,Pendiente,244.94,Pendiente,19.61,12.49,1,1,1,15
2559,2559,2021-07-04,2021-07-08,2021-07-05,1 días,337.42,Si,21.01,16.06,3,1,3,3
2560,2560,2021-07-05,2021-07-09,2021-07-10,5 días,627.4,No,7.67,81.85,4,2,3,15
2561,2561,2021-07-05,2021-07-09,2021-07-06,1 días,262.24,Si,49.29,5.32,3,1,3,11
2562,2562,2021-07-07,2021-07-11,2021-07-11,4 días,317.72,Si,12.9,24.62,1,1,3,7
2563,2563,2021-07-07,2021-07-11,2021-07-08,1 días,306.7,Si,18.26,16.8,2,1,3,14
2564,2564,2021-07-06,2021-07-10,2021-07-10,4 días,521.8,Si,12.31,42.4,3,1,3,15
2565,2565,2021-07-07,2021-07-11,2021-07-08,1 días,314.95,Si,17.43,18.07,2,1,4,9
2566,2566,2021-07-05,2021-07-09,2021-07-11,6 días,253.22,No,18.26,13.87,1,1,3,12
2567,2567,2021-07-07,2021-07-11,2021-07-08,1 días,347.29,Si,19.88,17.47,3,1,3,7
2568,2568,2021-07-06,2021-07-10,2021-07-13,7 días,498.0,No,10.77,46.23,2,1,4,8
2569,2569,2021-07-07,2021-07-11,2021-07-14,7 días,205.64,No,34.62,5.94,1,1,3,14
2570,2570,2021-07-05,2021-07-09,2021-07-06,1 días,541.26,Si,11.98,45.18,3,1,3,6
2571,2571,2021-07-07,2021-07-11,2021-07-11,4 días,404.59,Si,12.7,31.86,2,1,3,11
2572,2572,2021-07-06,2021-07-10,2021-07-12,6 días,203.84,No,36.14,5.64,1,1,3,7
2573,2573,2021-07-07,2021-07-11,2021-07-09,2 días,208.58,Si,32.44,6.43,1,1,3,1
2574,2574,2021-07-05,2021-07-09,2021-07-10,5 días,520.4,No,12.33,42.2,3,1,3,9
2575,2575,2021-07-06,2021-07-10,2021-07-07,1 días,517.36,Si,9.52,54.34,4,2,3,7
2576,2576,2021-07-06,2021-07-10,2021-07-12,6 días,463.16,No,9.48,48.86,1,1,3,12
2577,2577,2021-07-07,2021-07-11,2021-07-13,6 días,339.52,No,15.54,21.85,2,1,3,1
2578,2578,2021-07-08,2021-07-12,2021-07-14,6 días,443.33,No,11.72,37.82,2,1,3,15
2579,2579,2021-07-08,2021-07-12,2021-07-10,2 días,312.15,Si,25.07,12.45,3,1,3,8
2580,2580,2021-07-08,2021-07-12,2021-07-09,1 días,433.19,Si,11.95,36.26,2,1,3,6
2581,2581,2021-07-06,2021-07-10,2021-07-08,2 días,608.32,Si,7.89,77.08,4,2,3,2
2582,2582,2021-07-06,2021-07-10,2021-07-10,4 días,1269.41,Si,6.05,209.87,5,2,3,6
2583,2583,2021-07-06,2021-07-10,,Pendiente,272.06,Pendiente,15.99,17.01,1,1,1,10
2584,2584,2021-07-07,2021-07-11,2021-07-11,4 días,1021.92,Si,5.66,180.48,4,2,3,6
2585,2585,2021-07-07,2021-07-11,2021-07-09,2 días,321.46,Si,23.33,13.78,3,1,3,2
2586,2586,2021-07-08,2021-07-12,2021-07-12,4 días,486.3,Si,10.95,44.43,2,1,3,1
2587,2587,2021-07-06,2021-07-10,2021-07-09,3 días,420.2,Si,10.08,41.7,1,1,3,5
2588,2588,2021-07-08,2021-07-12,2021-07-13,5 días,406.72,No,15.67,25.96,3,1,3,11
2589,2589,2021-07-08,2021-07-12,2021-07-10,2 días,331.05,Si,21.85,15.15,3,1,3,2
2590,2590,2021-07-08,2021-07-12,2021-07-15,7 días,402.56,No,10.39,38.76,1,1,3,10
2591,2591,2021-07-08,2021-07-12,2021-07-11,3 días,311.24,Si,13.22,23.54,1,1,3,1
2592,2592,2021-07-08,2021-07-12,2021-07-09,1 días,928.81,Si,6.92,134.18,5,2,3,15
2593,2593,2021-07-07,2021-07-11,2021-07-08,1 días,302.28,Si,18.75,16.12,2,1,3,7
2594,2594,2021-07-07,2021-07-11,2021-07-08,1 días,306.76,Si,26.26,11.68,3,1,3,1
2595,2595,2021-07-08,2021-07-12,2021-07-10,2 días,324.8,Si,12.59,25.8,1,1,3,4
2596,2596,2021-07-09,2021-07-13,2021-07-10,1 días,439.88,Si,9.78,44.98,1,1,3,1
2597,2597,2021-07-09,2021-07-13,2021-07-13,4 días,252.8,Si,18.32,13.8,1,1,3,2
2598,2598,2021-07-07,2021-07-11,2021-07-14,7 días,443.19,No,14.22,31.17,3,1,3,1
2599,2599,2021-07-08,2021-07-12,2021-07-10,2 días,425.41,Si,14.86,28.63,3,1,3,7
2600,2600,2021-07-09,2021-07-13,2021-07-12,3 días,427.14,Si,12.09,35.33,2,1,3,14
2601,2601,2021-07-10,2021-07-14,2021-07-17,7 días,378.38,No,10.89,34.73,1,1,3,4
2602,2602,2021-07-10,2021-07-14,2021-07-15,5 días,369.56,No,13.96,26.47,2,1,3,6
2603,2603,2021-07-08,2021-07-12,2021-07-09,1 días,499.94,Si,10.74,46.53,2,1,3,14
2604,2604,2021-07-08,2021-07-12,2021-07-09,1 días,352.2,Si,14.8,23.8,2,1,3,11
2605,2605,2021-07-09,2021-07-13,2021-07-11,2 días,1327.2,Si,5.17,256.8,4,2,4,14
2606,2606,2021-07-09,2021-07-13,2021-07-11,2 días,307.67,Si,26.05,11.81,3,1,3,8
2607,2607,2021-07-08,2021-07-12,2021-07-10,2 días,393.07,Si,16.37,24.01,3,1,3,2
2608,2608,2021-07-10,2021-07-14,2021-07-16,6 días,304.81,No,18.46,16.51,2,1,3,1
2609,2609,2021-07-10,2021-07-14,2021-07-17,7 días,1418.32,No,5.07,279.58,4,2,3,6
2610,2610,2021-07-09,2021-07-13,2021-07-15,6 días,489.55,No,10.9,44.93,2,1,3,6
2611,2611,2021-07-09,2021-07-13,2021-07-15,6 días,281.12,No,15.18,18.52,1,1,3,13
2612,2612,2021-07-09,2021-07-13,2021-07-13,4 días,536.5,Si,12.06,44.5,3,1,3,1
2613,2613,2021-07-10,2021-07-14,2021-07-17,7 días,307.94,No,18.12,16.99,2,1,3,6
2614,2614,2021-07-08,2021-07-12,2021-07-13,5 días,314.9,No,13.04,24.15,1,1,3,4
2615,2615,2021-07-08,2021-07-12,2021-07-12,4 días,511.16,Si,12.5,40.88,3,1,3,8
2616,2616,2021-07-10,2021-07-14,2021-07-17,7 días,260.6,No,17.26,15.1,1,1,3,6
2617,2617,2021-07-08,2021-07-12,2021-07-11,3 días,408.12,Si,15.6,26.16,3,1,3,9
2618,2618,2021-07-09,2021-07-13,2021-07-15,6 días,249.11,No,31.37,7.94,2,1,3,2
2619,2619,2021-07-10,2021-07-14,2021-07-13,3 días,278.06,Si,15.44,18.01,1,1,3,14
2620,2620,2021-07-09,2021-07-13,2021-07-13,4 días,224.78,Si,24.62,9.13,1,1,3,1
2621,2621,2021-07-09,2021-07-13,2021-07-16,7 días,430.64,No,9.91,43.44,1,1,3,6
2622,2622,2021-07-09,2021-07-13,2021-07-15,6 días,1530.95,No,5.71,267.99,5,2,3,2
2623,2623,2021-07-10,2021-07-14,2021-07-16,6 días,420.02,No,15.08,27.86,3,1,3,10
2624,2624,2021-07-09,2021-07-13,2021-07-11,2 días,344.21,Si,20.21,17.03,3,1,3,14
2625,2625,2021-07-11,2021-07-15,,Pendiente,388.6,Pendiente,13.22,29.4,2,1,1,2
2626,2626,2021-07-10,2021-07-14,2021-07-11,1 días,1908.9,Si,3.38,564.74,8,3,3,3
2627,2627,2021-07-09,2021-07-13,2021-07-11,2 días,357.93,Si,18.85,18.99,3,1,3,15
2628,2628,2021-07-11,2021-07-15,2021-07-14,3 días,1139.56,Si,5.43,209.89,4,2,3,2
2629,2629,2021-07-11,2021-07-15,2021-07-12,1 días,523.34,Si,12.28,42.62,3,1,3,1
2630,2630,2021-07-11,2021-07-15,2021-07-14,3 días,245.21,Si,33.41,7.34,2,1,3,15
2631,2631,2021-07-09,2021-07-13,2021-07-12,3 días,315.93,Si,17.34,18.22,2,1,3,8
