VentaSK,SK_Proveedor,SK_RangoDistancia,SK_EstadoPedido,SK_Almacen,Fecha_Envio,Fecha_Estimada,Fecha_Entrega_Real,Distancia_Km,Costo_Total,Costo_Por_Km,Tiempo_Entrega_Dias,Entregado_A_Tiempo
2445,2,1,3,4,2021-06-28,2021-07-02,2021-07-04,21.78,339.07,15.57,6,No
2446,1,1,3,13,2021-06-27,2021-07-01,2021-06-28,22.32,303.92,13.62,1,Si
2447,3,1,3,7,2021-06-28,2021-07-02,2021-07-05,46.49,550.43,11.84,7,No
2448,1,1,3,15,2021-06-27,2021-07-01,2021-07-04,30.48,352.88,11.58,7,No
2449,1,1,3,6,2021-06-28,2021-07-02,2021-07-04,11.84,241.04,20.36,6,No
2450,1,1,3,12,2021-06-27,2021-07-01,2021-06-30,17.84,277.04,15.53,3,Si
2451,1,1,3,15,2021-06-29,2021-07-03,2021-07-05,45.35,442.1,9.75,6,No
2452,2,1,3,1,2021-06-29,2021-07-03,2021-07-02,43.09,477.59,11.08,3,Si
2453,2,1,3,8,2021-06-29,2021-07-03,2021-07-02,6.44,239.36,37.17,3,Si
2454,2,1,3,1,2021-06-29,2021-07-03,2021-07-02,9.28,257.82,27.78,3,Si
2455,1,1,3,4,2021-06-28,2021-07-02,2021-06-30,43.94,433.64,9.87,2,Si
2456,1,1,3,8,2021-06-29,2021-07-03,2021-07-01,27.98,337.88,12.08,2,Si
2457,2,1,3,9,2021-06-29,2021-07-03,2021-07-01,20.0,327.5,16.38,2,Si
2458,1,1,3,7,2021-06-27,2021-07-01,2021-06-29,40.54,413.24,10.19,2,Si
2459,1,1,3,1,2021-06-29,2021-07-03,2021-07-01,22.13,302.78,13.68,2,Si
2460,5,2,3,6,2021-06-27,2021-07-01,2021-06-30,117.9,855.55,7.26,3,Si
2461,3,1,3,6,2021-06-28,2021-07-02,2021-07-01,46.72,552.04,11.82,3,Si
2462,2,1,3,2,2021-06-28,2021-07-02,2021-07-05,13.45,284.93,21.18,7,No
2463,4,2,4,11,2021-06-27,2021-07-01,2021-06-28,234.38,1237.52,5.28,1,Si
2464,2,1,3,4,2021-06-27,2021-07-01,2021-06-28,21.86,339.59,15.53,1,Si
2465,2,1,3,15,2021-06-28,2021-07-02,2021-07-01,41.82,469.33,11.22,3,Si
2466,1,1,3,15,2021-06-29,2021-07-03,2021-07-06,31.48,358.88,11.4,7,No
2467,3,1,2,12,2021-06-30,2021-07-04,,19.01,358.07,18.84,0,Pendiente
2468,3,1,3,1,2021-06-30,2021-07-04,2021-07-01,12.6,313.2,24.86,1,Si
2469,3,1,4,6,2021-06-29,2021-07-03,2021-07-05,34.43,466.01,13.53,6,No
2470,2,1,3,8,2021-06-28,2021-07-02,2021-07-02,47.98,509.37,10.62,4,Si
2471,3,1,4,14,2021-06-29,2021-07-03,2021-07-04,35.59,474.13,13.32,5,No
2472,4,2,3,15,2021-06-30,2021-07-04,2021-07-01,175.03,1000.12,5.71,1,Si
2473,1,1,3,6,2021-06-28,2021-07-02,2021-07-04,26.48,328.88,12.42,6,No
2474,1,1,3,3,2021-06-29,2021-07-03,2021-07-01,34.97,379.82,10.86,2,Si
2475,3,1,3,6,2021-06-28,2021-07-02,2021-06-29,9.22,289.54,31.4,1,Si
2476,3,1,4,1,2021-06-30,2021-07-04,2021-07-04,35.08,470.56,13.41,4,Si
2477,3,1,4,6,2021-06-28,2021-07-02,2021-06-30,6.05,267.35,44.19,2,Si
2478,1,1,3,14,2021-06-29,2021-07-03,2021-06-30,42.87,427.22,9.97,1,Si
2479,6,2,4,14,2021-06-29,2021-07-03,2021-07-05,175.46,1227.3,6.99,6,No
2480,1,1,3,2,2021-07-01,2021-07-05,2021-07-02,11.29,237.74,21.06,1,Si
2481,7,3,3,13,2021-06-29,2021-07-03,2021-07-04,1374.62,3349.24,2.44,5,No
2482,3,1,2,8,2021-06-30,2021-07-04,,36.78,482.46,13.12,0,Pendiente
2483,1,1,4,1,2021-06-29,2021-07-03,2021-07-04,36.32,387.92,10.68,5,No
2484,2,1,3,7,2021-07-01,2021-07-05,2021-07-03,25.37,362.4,14.28,2,Si
2485,1,1,3,2,2021-07-01,2021-07-05,2021-07-04,22.63,305.78,13.51,3,Si
2486,2,1,3,2,2021-06-29,2021-07-03,2021-07-02,11.7,273.55,23.38,3,Si
2487,3,1,3,14,2021-06-30,2021-07-04,2021-07-06,32.52,452.64,13.92,6,No
2488,4,2,3,6,2021-06-29,2021-07-03,2021-07-06,56.34,525.36,9.32,7,No
2489,1,1,2,6,2021-07-01,2021-07-05,,44.72,438.32,9.8,0,Pendiente
2490,1,1,3,1,2021-06-29,2021-07-03,2021-07-05,49.76,468.56,9.42,6,No
2491,1,1,3,7,2021-07-01,2021-07-05,2021-07-05,40.25,411.5,10.22,4,Si
2492,4,2,1,14,2021-06-29,2021-07-03,,66.44,565.76,8.52,0,Pendiente
2493,3,1,3,14,2021-07-01,2021-07-05,2021-07-05,42.03,519.21,12.35,4,Si
2494,2,1,3,5,2021-06-30,2021-07-04,2021-07-03,26.14,367.41,14.06,3,Si
2495,2,1,3,6,2021-06-30,2021-07-04,2021-07-05,44.07,483.96,10.98,5,No
2496,2,1,2,11,2021-06-30,2021-07-04,,8.99,255.94,28.47,0,Pendiente
2497,2,1,1,15,2021-07-01,2021-07-05,,17.39,310.53,17.86,0,Pendiente
2498,2,1,3,7,2021-07-01,2021-07-05,2021-07-03,21.7,338.55,15.6,2,Si
2499,7,3,3,6,2021-07-02,2021-07-06,2021-07-09,1243.55,3087.1,2.48,7,No
2500,3,1,3,3,2021-06-30,2021-07-04,2021-07-03,10.98,301.86,27.49,3,Si
2501,3,1,3,7,2021-07-01,2021-07-05,2021-07-02,37.54,487.78,12.99,1,Si
2502,4,2,3,8,2021-07-02,2021-07-06,2021-07-07,137.79,851.16,6.18,5,No
2503,3,1,3,6,2021-06-30,2021-07-04,2021-07-04,9.95,294.65,29.61,4,Si
2504,8,3,3,1,2021-07-02,2021-07-06,2021-07-04,504.57,1770.51,3.51,2,Si
2505,3,1,3,6,2021-07-01,2021-07-05,2021-07-03,46.68,551.76,11.82,2,Si
2506,2,1,1,12,2021-07-02,2021-07-06,,16.98,307.87,18.13,0,Pendiente
2507,3,1,3,14,2021-07-02,2021-07-06,2021-07-03,11.86,308.02,25.97,1,Si
2508,1,1,3,8,2021-07-03,2021-07-07,2021-07-09,7.64,215.84,28.25,6,No
2509,3,1,3,3,2021-07-03,2021-07-07,2021-07-08,37.46,487.22,13.01,5,No
2510,2,1,3,8,2021-07-02,2021-07-06,2021-07-05,19.35,323.27,16.71,3,Si
2511,3,1,3,3,2021-07-03,2021-07-07,2021-07-08,12.35,311.45,25.22,5,No
2512,2,1,3,11,2021-07-01,2021-07-05,2021-07-08,16.17,302.61,18.71,7,No
2513,1,1,3,15,2021-07-02,2021-07-06,2021-07-06,47.17,453.02,9.6,4,Si
2514,2,1,3,7,2021-07-03,2021-07-07,2021-07-06,14.54,292.01,20.08,3,Si
2515,1,1,3,9,2021-07-02,2021-07-06,2021-07-08,21.75,300.5,13.82,6,No
2516,2,1,3,6,2021-07-01,2021-07-05,2021-07-03,13.53,285.44,21.1,2,Si
2517,2,1,3,1,2021-07-01,2021-07-05,2021-07-02,40.5,460.75,11.38,1,Si
2518,3,1,3,3,2021-07-03,2021-07-07,2021-07-06,22.94,385.58,16.81,3,Si
2519,1,1,1,7,2021-07-03,2021-07-07,,48.61,461.66,9.5,0,Pendiente
2520,8,3,3,14,2021-07-03,2021-07-07,2021-07-09,464.66,1678.72,3.61,6,No
2521,7,3,3,2,2021-07-03,2021-07-07,2021-07-05,379.69,1359.38,3.58,2,Si
2522,1,1,3,6,2021-07-02,2021-07-06,2021-07-04,27.13,332.78,12.27,2,Si
2523,3,1,3,9,2021-07-02,2021-07-06,2021-07-03,42.64,523.48,12.28,1,Si
2524,2,1,2,6,2021-07-03,2021-07-07,,43.59,480.84,11.03,0,Pendiente
2525,5,2,2,13,2021-07-04,2021-07-08,,105.05,797.73,7.59,0,Pendiente
2526,4,2,3,1,2021-07-04,2021-07-08,2021-07-08,70.61,582.44,8.25,4,Si
2527,3,1,1,9,2021-07-03,2021-07-07,,13.31,318.17,23.9,0,Pendiente
2528,3,1,3,6,2021-07-02,2021-07-06,2021-07-03,45.31,542.17,11.97,1,Si
2529,7,3,3,2,2021-07-03,2021-07-07,2021-07-05,584.71,1769.42,3.03,2,Si
2530,3,1,3,7,2021-07-02,2021-07-06,2021-07-06,12.49,312.43,25.01,4,Si
2531,1,1,3,7,2021-07-04,2021-07-08,2021-07-07,37.47,394.82,10.54,3,Si
2532,7,3,3,6,2021-07-02,2021-07-06,2021-07-09,1256.07,3112.14,2.48,7,No
2533,8,3,3,14,2021-07-04,2021-07-08,2021-07-09,799.93,2449.84,3.06,5,No
2534,3,1,2,11,2021-07-03,2021-07-07,,13.34,318.38,23.87,0,Pendiente
2535,8,3,3,1,2021-07-02,2021-07-06,2021-07-07,1168.36,3297.23,2.82,5,No
2536,7,3,3,7,2021-07-02,2021-07-06,2021-07-07,1473.07,3546.14,2.41,5,No
2537,4,2,3,12,2021-07-05,2021-07-09,2021-07-08,132.6,830.4,6.26,3,Si
2538,2,1,3,6,2021-07-05,2021-07-09,2021-07-11,38.79,449.63,11.59,6,No
2539,5,2,3,14,2021-07-03,2021-07-07,2021-07-08,187.37,1168.16,6.23,5,No
2540,3,1,3,4,2021-07-04,2021-07-08,2021-07-09,9.81,293.67,29.94,5,No
2541,5,2,3,14,2021-07-04,2021-07-08,2021-07-08,128.83,904.74,7.02,4,Si
2542,5,2,3,6,2021-07-04,2021-07-08,2021-07-07,74.46,660.07,8.86,3,Si
2543,2,1,3,15,2021-07-05,2021-07-09,2021-07-11,18.43,317.3,17.22,6,No
2544,5,2,3,8,2021-07-04,2021-07-08,2021-07-08,54.2,568.9,10.5,4,Si
2545,5,2,3,9,2021-07-03,2021-07-07,2021-07-07,229.13,1356.09,5.92,4,Si
2546,1,1,2,10,2021-07-03,2021-07-07,,20.32,291.92,14.37,0,Pendiente
2547,1,1,3,9,2021-07-03,2021-07-07,2021-07-08,34.31,375.86,10.95,5,No
2548,1,1,3,14,2021-07-04,2021-07-08,2021-07-05,33.66,371.96,11.05,1,Si
2549,2,1,3,15,2021-07-06,2021-07-10,2021-07-07,46.72,501.18,10.73,1,Si
2550,2,1,3,15,2021-07-05,2021-07-09,2021-07-11,36.02,431.63,11.98,6,No
2551,6,2,3,2,2021-07-04,2021-07-08,2021-07-06,95.28,826.4,8.67,2,Si
2552,7,3,3,14,2021-07-06,2021-07-10,2021-07-13,635.47,1870.94,2.94,7,No
2553,3,1,3,2,2021-07-06,2021-07-10,2021-07-12,24.93,399.51,16.03,6,No
2554,7,3,3,12,2021-07-05,2021-07-09,2021-07-07,794.88,2189.76,2.75,2,Si
2555,3,1,3,14,2021-07-06,2021-07-10,2021-07-07,39.92,504.44,12.64,1,Si
2556,8,3,3,2,2021-07-04,2021-07-08,2021-07-11,1209.99,3392.98,2.8,7,No
2557,2,1,3,6,2021-07-06,2021-07-10,2021-07-12,31.31,401.01,12.81,6,No
2558,1,1,1,15,2021-07-05,2021-07-09,,12.49,244.94,19.61,0,Pendiente
2559,3,1,3,3,2021-07-04,2021-07-08,2021-07-05,16.06,337.42,21.01,1,Si
2560,4,2,3,15,2021-07-05,2021-07-09,2021-07-10,81.85,627.4,7.67,5,No
2561,3,1,3,11,2021-07-05,2021-07-09,2021-07-06,5.32,262.24,49.29,1,Si
2562,1,1,3,7,2021-07-07,2021-07-11,2021-07-11,24.62,317.72,12.9,4,Si
2563,2,1,3,14,2021-07-07,2021-07-11,2021-07-08,16.8,306.7,18.26,1,Si
2564,3,1,3,15,2021-07-06,2021-07-10,2021-07-10,42.4,521.8,12.31,4,Si
2565,2,1,4,9,2021-07-07,2021-07-11,2021-07-08,18.07,314.95,17.43,1,Si
2566,1,1,3,12,2021-07-05,2021-07-09,2021-07-11,13.87,253.22,18.26,6,No
2567,3,1,3,7,2021-07-07,2021-07-11,2021-07-08,17.47,347.29,19.88,1,Si
2568,2,1,4,8,2021-07-06,2021-07-10,2021-07-13,46.23,498.0,10.77,7,No
2569,1,1,3,14,2021-07-07,2021-07-11,2021-07-14,5.94,205.64,34.62,7,No
2570,3,1,3,6,2021-07-05,2021-07-09,2021-07-06,45.18,541.26,11.98,1,Si
2571,2,1,3,11,2021-07-07,2021-07-11,2021-07-11,31.86,404.59,12.7,4,Si
2572,1,1,3,7,2021-07-06,2021-07-10,2021-07-12,5.64,203.84,36.14,6,No
2573,1,1,3,1,2021-07-07,2021-07-11,2021-07-09,6.43,208.58,32.44,2,Si
2574,3,1,3,9,2021-07-05,2021-07-09,2021-07-10,42.2,520.4,12.33,5,No
2575,4,2,3,7,2021-07-06,2021-07-10,2021-07-07,54.34,517.36,9.52,1,Si
2576,1,1,3,12,2021-07-06,2021-07-10,2021-07-12,48.86,463.16,9.48,6,No
2577,2,1,3,1,2021-07-07,2021-07-11,2021-07-13,21.85,339.52,15.54,6,No
2578,2,1,3,15,2021-07-08,2021-07-12,2021-07-14,37.82,443.33,11.72,6,No
2579,3,1,3,8,2021-07-08,2021-07-12,2021-07-10,12.45,312.15,25.07,2,Si
2580,2,1,3,6,2021-07-08,2021-07-12,2021-07-09,36.26,433.19,11.95,1,Si
2581,4,2,3,2,2021-07-06,2021-07-10,2021-07-08,77.08,608.32,7.89,2,Si
2582,5,2,3,6,2021-07-06,2021-07-10,2021-07-10,209.87,1269.41,6.05,4,Si
2583,1,1,1,10,2021-07-06,2021-07-10,,17.01,272.06,15.99,0,Pendiente
2584,4,2,3,6,2021-07-07,2021-07-11,2021-07-11,180.48,1021.92,5.66,4,Si
2585,3,1,3,2,2021-07-07,2021-07-11,2021-07-09,13.78,321.46,23.33,2,Si
2586,2,1,3,1,2021-07-08,2021-07-12,2021-07-12,44.43,486.3,10.95,4,Si
2587,1,1,3,5,2021-07-06,2021-07-10,2021-07-09,41.7,420.2,10.08,3,Si
2588,3,1,3,11,2021-07-08,2021-07-12,2021-07-13,25.96,406.72,15.67,5,No
2589,3,1,3,2,2021-07-08,2021-07-12,2021-07-10,15.15,331.05,21.85,2,Si
2590,1,1,3,10,2021-07-08,2021-07-12,2021-07-15,38.76,402.56,10.39,7,No
2591,1,1,3,1,2021-07-08,2021-07-12,2021-07-11,23.54,311.24,13.22,3,Si
2592,5,2,3,15,2021-07-08,2021-07-12,2021-07-09,134.18,928.81,6.92,1,Si
2593,2,1,3,7,2021-07-07,2021-07-11,2021-07-08,16.12,302.28,18.75,1,Si
2594,3,1,3,1,2021-07-07,2021-07-11,2021-07-08,11.68,306.76,26.26,1,Si
2595,1,1,3,4,2021-07-08,2021-07-12,2021-07-10,25.8,324.8,12.59,2,Si
2596,1,1,3,1,2021-07-09,2021-07-13,2021-07-10,44.98,439.88,9.78,1,Si
2597,1,1,3,2,2021-07-09,2021-07-13,2021-07-13,13.8,252.8,18.32,4,Si
2598,3,1,3,1,2021-07-07,2021-07-11,2021-07-14,31.17,443.19,14.22,7,No
2599,3,1,3,7,2021-07-08,2021-07-12,2021-07-10,28.63,425.41,14.86,2,Si
2600,2,1,3,14,2021-07-09,2021-07-13,2021-07-12,35.33,427.14,12.09,3,Si
2601,1,1,3,4,2021-07-10,2021-07-14,2021-07-17,34.73,378.38,10.89,7,No
2602,2,1,3,6,2021-07-10,2021-07-14,2021-07-15,26.47,369.56,13.96,5,No
2603,2,1,3,14,2021-07-08,2021-07-12,2021-07-09,46.53,499.94,10.74,1,Si
2604,2,1,3,11,2021-07-08,2021-07-12,2021-07-09,23.8,352.2,14.8,1,Si
2605,4,2,4,14,2021-07-09,2021-07-13,2021-07-11,256.8,1327.2,5.17,2,Si
2606,3,1,3,8,2021-07-09,2021-07-13,2021-07-11,11.81,307.67,26.05,2,Si
2607,3,1,3,2,2021-07-08,2021-07-12,2021-07-10,24.01,393.07,16.37,2,Si
2608,2,1,3,1,2021-07-10,2021-07-14,2021-07-16,16.51,304.81,18.46,6,No
2609,4,2,3,6,2021-07-10,2021-07-14,2021-07-17,279.58,1418.32,5.07,7,No
2610,2,1,3,6,2021-07-09,2021-07-13,2021-07-15,44.93,489.55,10.9,6,No
2611,1,1,3,13,2021-07-09,2021-07-13,2021-07-15,18.52,281.12,15.18,6,No
2612,3,1,3,1,2021-07-09,2021-07-13,2021-07-13,44.5,536.5,12.06,4,Si
2613,2,1,3,6,2021-07-10,2021-07-14,2021-07-17,16.99,307.94,18.12,7,No
2614,1,1,3,4,2021-07-08,2021-07-12,2021-07-13,24.15,314.9,13.04,5,No
2615,3,1,3,8,2021-07-08,2021-07-12,2021-07-12,40.88,511.16,12.5,4,Si
2616,1,1,3,6,2021-07-10,2021-07-14,2021-07-17,15.1,260.6,17.26,7,No
2617,3,1,3,9,2021-07-08,2021-07-12,2021-07-11,26.16,408.12,15.6,3,Si
2618,2,1,3,2,2021-07-09,2021-07-13,2021-07-15,7.94,249.11,31.37,6,No
2619,1,1,3,14,2021-07-10,2021-07-14,2021-07-13,18.01,278.06,15.44,3,Si
2620,1,1,3,1,2021-07-09,2021-07-13,2021-07-13,9.13,224.78,24.62,4,Si
2621,1,1,3,6,2021-07-09,2021-07-13,2021-07-16,43.44,430.64,9.91,7,No
2622,5,2,3,2,2021-07-09,2021-07-13,2021-07-15,267.99,1530.95,5.71,6,No
2623,3,1,3,10,2021-07-10,2021-07-14,2021-07-16,27.86,420.02,15.08,6,No
2624,3,1,3,14,2021-07-09,2021-07-13,2021-07-11,17.03,344.21,20.21,2,Si
2625,2,1,1,2,2021-07-11,2021-07-15,,29.4,388.6,13.22,0,Pendiente
2626,8,3,3,3,2021-07-10,2021-07-14,2021-07-11,564.74,1908.9,3.38,1,Si
2627,3,1,3,15,2021-07-09,2021-07-13,2021-07-11,18.99,357.93,18.85,2,Si
2628,4,2,3,2,2021-07-11,2021-07-15,2021-07-14,209.89,1139.56,5.43,3,Si
2629,3,1,3,1,2021-07-11,2021-07-15,2021-07-12,42.62,523.34,12.28,1,Si
2630,2,1,3,15,2021-07-11,2021-07-15,2021-07-14,7.34,245.21,33.41,3,Si
2631,2,1,3,8,2021-07-09,2021-07-13,2021-07-12,18.22,315.93,17.34,3,Si
2632,8,3,3,1,2021-07-11,2021-07-15,2021-07-17,473.86,1699.88,3.59,6,No
2633,3,1,3,15,2021-07-10,2021-07-14,2021-07-11,8.72,286.04,32.8,1,Si
2634,4,2,3,3,2021-07-12,2021-07-16,2021-07-17,114.87,759.48,6.61,5,No
2635,1,1,3,10,2021-07-11,2021-07-15,2021-07-18,29.02,344.12,11.86,7,No
2636,3,1,3,12,2021-07-12,2021-07-16,2021-07-15,40.51,508.57,12.55,3,Si
2637,2,1,4,8,2021-07-12,2021-07-16,2021-07-15,31.94,405.11,12.68,3,Si
2638,2,1,4,6,2021-07-12,2021-07-16,2021-07-15,15.14,295.91,19.54,3,Si
2639,2,1,3,4,2021-07-11,2021-07-15,2021-07-16,29.76,390.94,13.14,5,No
2640,5,2,3,1,2021-07-10,2021-07-14,2021-07-12,52.74,562.33,10.66,2,Si
2641,5,2,3,9,2021-07-12,2021-07-16,2021-07-14,179.91,1134.6,6.31,2,Si
2642,5,2,3,8,2021-07-10,2021-07-14,2021-07-12,123.39,880.25,7.13,2,Si
2643,2,1,3,12,2021-07-12,2021-07-16,2021-07-17,47.52,506.38,10.66,5,No
2644,3,1,2,15,2021-07-12,2021-07-16,,34.59,467.13,13.5,0,Pendiente
2645,3,1,3,9,2021-07-11,2021-07-15,2021-07-18,30.03,435.21,14.49,7,No
2646,2,1,3,6,2021-07-11,2021-07-15,2021-07-18,12.12,276.28,22.8,7,No
2647,3,1,3,14,2021-07-13,2021-07-17,2021-07-17,40.04,505.28,12.62,4,Si
2648,2,1,2,15,2021-07-11,2021-07-15,,38.19,445.74,11.67,0,Pendiente
2649,2,1,4,3,2021-07-12,2021-07-16,2021-07-18,22.72,345.18,15.19,6,No
2650,7,3,2,3,2021-07-11,2021-07-15,,1343.16,3286.32,2.45,0,Pendiente
2651,1,1,1,14,2021-07-13,2021-07-17,,25.8,324.8,12.59,0,Pendiente
2652,2,1,3,2,2021-07-13,2021-07-17,2021-07-14,40.84,462.96,11.34,1,Si
2653,3,1,3,5,2021-07-13,2021-07-17,2021-07-15,47.28,555.96,11.76,2,Si
2654,1,1,3,15,2021-07-11,2021-07-15,2021-07-14,49.17,465.02,9.46,3,Si
2655,1,1,3,2,2021-07-12,2021-07-16,2021-07-14,20.68,294.08,14.22,2,Si
2656,1,1,4,9,2021-07-12,2021-07-16,2021-07-18,49.07,464.42,9.46,6,No
2657,1,1,3,15,2021-07-13,2021-07-17,2021-07-20,15.87,265.22,16.71,7,No
2658,3,1,3,15,2021-07-11,2021-07-15,2021-07-17,6.91,273.37,39.56,6,No
2659,1,1,3,8,2021-07-12,2021-07-16,2021-07-17,20.07,290.42,14.47,5,No
2660,3,1,3,11,2021-07-11,2021-07-15,2021-07-16,25.39,402.73,15.86,5,No
2661,3,1,3,2,2021-07-12,2021-07-16,2021-07-13,23.01,386.07,16.78,1,Si
2662,3,1,3,8,2021-07-13,2021-07-17,2021-07-17,46.7,551.9,11.82,4,Si
2663,1,1,3,9,2021-07-13,2021-07-17,2021-07-18,12.7,246.2,19.39,5,No
2664,1,1,3,4,2021-07-14,2021-07-18,2021-07-20,20.19,291.14,14.42,6,No
2665,2,1,3,7,2021-07-12,2021-07-16,2021-07-16,13.18,283.17,21.48,4,Si
2666,3,1,3,1,2021-07-14,2021-07-18,2021-07-21,20.15,366.05,18.17,7,No
2667,1,1,3,15,2021-07-12,2021-07-16,2021-07-18,37.22,393.32,10.57,6,No
2668,3,1,3,8,2021-07-14,2021-07-18,2021-07-17,46.41,549.87,11.85,3,Si
2669,1,1,3,14,2021-07-12,2021-07-16,2021-07-14,47.78,456.68,9.56,2,Si
2670,5,2,3,8,2021-07-14,2021-07-18,2021-07-21,109.13,816.09,7.48,7,No
2671,1,1,3,15,2021-07-13,2021-07-17,2021-07-17,18.33,279.98,15.27,4,Si
2672,1,1,1,4,2021-07-13,2021-07-17,,27.82,336.92,12.11,0,Pendiente
2673,2,1,1,15,2021-07-13,2021-07-17,,24.2,354.8,14.66,0,Pendiente
2674,1,1,3,6,2021-07-13,2021-07-17,2021-07-14,19.96,289.76,14.52,1,Si
2675,1,1,3,1,2021-07-14,2021-07-18,2021-07-18,7.0,212.0,30.29,4,Si
2676,3,1,3,4,2021-07-14,2021-07-18,2021-07-21,42.94,525.58,12.24,7,No
2677,6,2,3,6,2021-07-13,2021-07-17,2021-07-17,118.35,941.75,7.96,4,Si
2678,1,1,4,1,2021-07-12,2021-07-16,2021-07-15,32.54,365.24,11.22,3,Si
2679,1,1,3,6,2021-07-14,2021-07-18,2021-07-17,34.3,375.8,10.96,3,Si
2680,4,2,3,14,2021-07-13,2021-07-17,2021-07-16,68.6,574.4,8.37,3,Si
2681,3,1,3,11,2021-07-14,2021-07-18,2021-07-21,9.23,289.61,31.38,7,No
2682,2,1,3,14,2021-07-14,2021-07-18,2021-07-21,34.61,422.47,12.21,7,No
2683,3,1,3,2,2021-07-15,2021-07-19,2021-07-21,7.28,275.96,37.91,6,No
2684,1,1,3,2,2021-07-15,2021-07-19,2021-07-21,17.91,277.46,15.49,6,No
2685,2,1,3,9,2021-07-13,2021-07-17,2021-07-15,24.49,356.69,14.56,2,Si
2686,1,1,3,15,2021-07-13,2021-07-17,2021-07-18,48.44,460.64,9.51,5,No
2687,3,1,3,8,2021-07-15,2021-07-19,2021-07-20,32.19,450.33,13.99,5,No
2688,3,1,3,15,2021-07-14,2021-07-18,2021-07-19,9.83,293.81,29.89,5,No
2689,3,1,3,13,2021-07-14,2021-07-18,2021-07-20,9.84,293.88,29.87,6,No
2690,2,1,3,6,2021-07-15,2021-07-19,2021-07-17,49.17,517.11,10.52,2,Si
2691,2,1,3,7,2021-07-13,2021-07-17,2021-07-18,19.45,323.93,16.65,5,No
2692,4,2,3,6,2021-07-15,2021-07-19,2021-07-16,150.37,901.48,6.0,1,Si
2693,1,1,3,4,2021-07-15,2021-07-19,2021-07-22,6.94,211.64,30.5,7,No
2694,7,3,4,6,2021-07-15,2021-07-19,2021-07-22,959.2,2518.4,2.63,7,No
2695,2,1,3,7,2021-07-15,2021-07-19,2021-07-22,21.47,337.06,15.7,7,No
2696,1,1,3,1,2021-07-14,2021-07-18,2021-07-17,13.72,252.32,18.39,3,Si
2697,8,3,3,4,2021-07-15,2021-07-19,2021-07-16,1077.13,3087.4,2.87,1,Si
2698,3,1,3,14,2021-07-15,2021-07-19,2021-07-19,33.45,459.15,13.73,4,Si
2699,4,2,3,8,2021-07-14,2021-07-18,2021-07-21,55.3,521.2,9.42,7,No
2700,3,1,3,6,2021-07-16,2021-07-20,2021-07-20,29.92,434.44,14.52,4,Si
2701,1,1,3,1,2021-07-16,2021-07-20,2021-07-22,26.83,330.98,12.34,6,No
2702,1,1,3,1,2021-07-15,2021-07-19,2021-07-16,10.71,234.26,21.87,1,Si
2703,2,1,3,13,2021-07-15,2021-07-19,2021-07-22,8.28,251.32,30.35,7,No
2704,1,1,3,13,2021-07-15,2021-07-19,2021-07-22,6.83,210.98,30.89,7,No
2705,3,1,3,8,2021-07-14,2021-07-18,2021-07-15,46.88,553.16,11.8,1,Si
2706,2,1,3,12,2021-07-15,2021-07-19,2021-07-22,21.66,338.29,15.62,7,No
2707,6,2,4,9,2021-07-16,2021-07-20,2021-07-17,175.06,1225.3,7.0,1,Si
2708,2,1,3,6,2021-07-17,2021-07-21,2021-07-23,39.34,453.21,11.52,6,No
2709,7,3,3,14,2021-07-16,2021-07-20,2021-07-17,488.26,1576.52,3.23,1,Si
2710,3,1,3,8,2021-07-17,2021-07-21,2021-07-23,39.72,503.04,12.66,6,No
2711,1,1,3,6,2021-07-16,2021-07-20,2021-07-18,33.68,372.08,11.05,2,Si
2712,2,1,3,5,2021-07-16,2021-07-20,2021-07-19,40.81,462.76,11.34,3,Si
2713,5,2,3,14,2021-07-15,2021-07-19,2021-07-21,297.04,1661.68,5.59,6,No
2714,2,1,1,9,2021-07-17,2021-07-21,,44.01,483.56,10.99,0,Pendiente
2715,3,1,3,6,2021-07-15,2021-07-19,2021-07-21,24.51,396.57,16.18,6,No
2716,6,2,3,13,2021-07-15,2021-07-19,2021-07-21,69.86,699.3,10.01,6,No
2717,1,1,3,15,2021-07-17,2021-07-21,2021-07-21,34.6,377.6,10.91,4,Si
2718,1,1,1,14,2021-07-17,2021-07-21,,11.67,240.02,20.57,0,Pendiente
2719,5,2,3,10,2021-07-16,2021-07-20,2021-07-20,266.58,1524.61,5.72,4,Si
2720,2,1,3,15,2021-07-16,2021-07-20,2021-07-22,40.52,460.88,11.37,6,No
2721,3,1,4,7,2021-07-17,2021-07-21,2021-07-20,19.92,364.44,18.3,3,Si
2722,3,1,3,6,2021-07-17,2021-07-21,2021-07-24,34.52,466.64,13.52,7,No
2723,2,1,3,5,2021-07-15,2021-07-19,2021-07-16,6.87,242.16,35.25,1,Si
2724,1,1,3,6,2021-07-17,2021-07-21,2021-07-20,42.95,427.7,9.96,3,Si
2725,1,1,3,6,2021-07-17,2021-07-21,2021-07-18,38.07,398.42,10.47,1,Si
2726,1,1,4,13,2021-07-16,2021-07-20,2021-07-19,10.98,235.88,21.48,3,Si
2727,3,1,3,11,2021-07-18,2021-07-22,2021-07-23,8.92,287.44,32.22,5,No
2728,1,1,2,7,2021-07-17,2021-07-21,,48.99,463.94,9.47,0,Pendiente
2729,3,1,4,6,2021-07-18,2021-07-22,2021-07-25,40.06,505.42,12.62,7,No
